Symbol,Current Price,50DMA,200DMA,Above 50DMA in last 15 sessions,Above 200DMA in last 15 sessions,Below 50DMA in last 15 sessions,Below 200DMA in last 15 sessions
JD,38.11000061035156,39.147899856567385,30.976824951171874,3,,1,
AAL,17.239999771118164,13.877399978637696,12.644699959754943,,,,
AAPL,247.9600067138672,231.89219940185546,208.61619987487794,,,,
ABNB,137.47000122070312,135.62399978637694,141.98975006103515,,,,
AI,38.25,29.815800132751466,27.081400032043458,,,,
AMD,130.60000610351562,148.13540084838868,158.1067003250122,,,,
AMC,4.309999942779541,4.465,4.470800014734269,,14,2,2
AMZN,228.97000122070312,200.3532000732422,186.75665031433107,,,,
ARKK,60.91999816894531,52.37419990539551,47.24944995880127,,,,
ARM,148.0,142.8534994506836,135.61137470245362,1,8,,10
BA,167.75,152.44019958496094,170.76215019226075,10,,11,
BABA,89.2300033569336,95.88139984130859,83.1492499923706,,,,
BAC,46.08000183105469,44.10140007019043,40.10499992370605,,,,
BITX,62.470001220703125,43.79860015869141,39.24500015258789,,,,
CCL,26.18000030517578,23.11000003814697,17.9662500667572,,,,
CNXC,43.709999084472656,44.69120002746582,58.840199909210206,3,,1,
CRM,358.0299987792969,315.1474005126953,279.81470016479494,,,,
CSCO,58.849998474121094,56.87720008850098,50.45590007781983,,,,
DELL,119.18000030517578,128.08079971313475,124.51670013427734,9,,8,4
DIS,114.9000015258789,103.82859985351563,102.2595000076294,,,,
DKNG,41.470001220703125,39.9539998626709,39.63229989051819,,,,
DOCU,94.5199966430664,77.07759994506836,61.554349937438964,,,,
DXCM,78.93000030517578,73.32640014648437,98.94594989776611,,,,
ETSY,58.58000183105469,52.64460021972656,59.19152494430542,13,,,
FREY,1.659999966621399,1.5542199945449828,1.6024149972200394,,,,
FSLY,10.600000381469727,7.893400001525879,8.741949999332428,14,8,,
GLD,247.27999877929688,246.64839965820312,226.50264999389648,2,,12,
GME,28.75,24.62779998779297,21.442849979400634,,,,
GOOG,193.6300048828125,172.66140106201172,167.63330001831054,12,,13,
HTZ,4.28000020980835,3.6299000120162965,4.455650004148484,,5,,1
ICLN,11.979999542236328,12.83160005569458,13.723600001335145,,,,
INTC,20.780000686645508,23.13759994506836,28.886699962615968,,,7,
IRBT,8.90999984741211,8.001399984359741,8.760350000858306,8,0,,2
JETS,25.520000457763672,23.398999977111817,20.54524995803833,,,,
KWEB,32.16999816894531,32.369800033569334,28.824850006103517,3,,2,
LI,22.790000915527344,24.88650005340576,24.354975080490114,,,,
LYFT,14.850000381469727,15.196400089263916,14.778150057792663,,,0,
META,630.7899780273438,583.7516040039062,521.6807508850097,8,,,
MGM,36.79999923706055,38.497999877929686,40.43414987564087,,,,
MRK,101.25,103.53920013427734,118.66884998321534,,,,
MRNA,42.81999969482422,48.9734001159668,92.9841748046875,,,,
MSFT,449.55999755859375,423.37880065917966,423.60059997558596,11,11,,
MSTR,392.19000244140625,294.6541998291016,182.29158981323243,,,,
MU,98.23999786376953,103.6502003479004,110.65504993438721,14,,11,
NFLX,925.5499877929688,806.6573950195312,683.9078497314454,,,,
NVDA,137.33999633789062,139.31879928588867,114.99567989349366,1,,0,
NVDD,6.400000095367432,6.359600000381469,8.689450001716613,0,,1,
PDD,104.66000366210938,119.0699998474121,125.96330005645751,,,,
NVDQ,3.380000114440918,3.4230999898910524,7.743300017118454,2,,1,
PFE,25.3700008392334,27.277000007629393,27.990849952697754,,,,
PLUG,2.4000000953674316,2.1394000005722047,2.547900008559227,6,3,7,2
PSTG,62.52000045776367,53.97720016479492,55.86974998474121,12,6,,
PTON,9.350000381469727,7.50539999961853,4.769200006723404,,,,
PYPL,89.4000015258789,83.44910003662109,69.63939977645875,,,,
QCOM,158.24000549316406,165.4302001953125,176.6545502471924,,,,
RBLX,59.61000061035156,48.37940010070801,41.18374992370605,,,,
RCL,244.14999389648438,219.66380096435546,167.51705005645752,,,,
RIOT,12.329999923706055,10.826099996566773,10.005424978733062,,,,
ROKU,81.9000015258789,75.00640014648438,65.19280012130737,8,,,
SCHW,82.8499984741211,75.16560043334961,70.9309499168396,,,,
SHOP,115.30999755859375,94.81600021362304,75.59095001220703,,,,
SMCI,37.93000030517578,37.02360008239746,66.9925998878479,8,,11,
SNOW,170.0,136.63339981079102,138.39544982910155,,14,,
UBER,61.40999984741211,73.8444002532959,71.86750020980836,,8,,7
XOM,111.81999969482422,119.21659973144531,116.23569984436035,,,11,6
HOOD,39.33000183105469,31.04439998626709,22.756774959564208,,,,
HIMS,30.09000015258789,24.272000045776366,18.805850019454954,,,,
RDFN,9.229999542236328,9.91329997062683,8.18414999485016,,14,,
SOFI,15.899999618530273,12.503800010681152,8.542174990177154,,,,
MDB,288.6099853515625,291.7113989257812,297.98834976196287,,14,0,2
S,24.020000457763672,26.259799995422362,23.10829997062683,,,5,
M,16.309999465942383,15.76320001602173,17.43940004348755,13,,,
CVS,49.58000183105469,58.531399688720704,61.6673999786377,10,,8,
BUD,53.5,59.19719985961914,60.8896999168396,,,,
SOUN,13.670000076293945,7.168500022888184,5.546974991559982,,,,
VZ,42.08000183105469,42.52620018005371,41.3625001335144,13,,6,
